Marca,Sistema,Sintoma do Cliente,Perguntas de Diagnóstico (Sequência),Causa Técnica Provável,Procedimento Orientado,Nível
Libell,Compressor,Liga e desliga em poucos segundos,"Energia ok? Compressor liga/desliga? Faz clic?",Relé de partida / protetor térmico,"Testar em outra tomada. Persistindo, encaminhar Fale Conosco.",Avançado
Masterfrio,Compressor,Está ligado mas não gela nada,"Compressor vibra? Condensador quente? Ventilação ok?",Falta de gás ou compressor fraco,"Verificar ventilação e limpeza traseira. Persistindo, encaminhar Fale Conosco.",Avançado
Esmaltec,Compressor,Gela pouco,"Encostado na parede? Ambiente quente? Uso intenso?",Baixa troca térmica,"Afaste da parede e melhore ventilação. Persistindo, encaminhar Fale Conosco.",Básico
Polar,Compressor,Faz barulho forte e não gela,"Barulho contínuo? Vibração?",Compressor desgastado,"Verificar nivelamento do equipamento. Persistindo, encaminhar Fale Conosco.",Avançado
Electrolux,Eletrônico,Não liga nada,"Painel acende? Outra tomada testada? Cabo ok?",Fonte ou placa,"Testar outra tomada funcional. Persistindo, encaminhar Fale Conosco.",Avançado
IBBL,Eletrônico,Ventilador faz barulho,"Barulho de raspagem? Giro lento?",Cooler desgastado,"Limpar saída de ar com pincel seco. Persistindo, encaminhar Fale Conosco.",Avançado
Latina,Eletrônico,Liga mas não gela,"Ventoinha gira? Barulho interno?",Peltier com falha,"Desobstruir saída de ar traseira. Persistindo, encaminhar Fale Conosco.",Avançado
Colormaq,Eletrônico,Gela e para depois,"Tempo de uso? Ventilação ok?",Superaquecimento,"Desligar 2h e limpar grade traseira. Persistindo, encaminhar Fale Conosco.",Básico
Libell,Garrafão,Água não desce,"Garrafão encaixado?",Vácuo no sistema,"Recolocar garrafão e verificar lacre. Persistindo, encaminhar Fale Conosco.",Básico
Esmaltec,Garrafão,Vazamento ao colocar garrafão,"Vedação ok? Testou outro garrafão?",Vedação comprometida,"Testar outro garrafão. Persistindo, encaminhar Fale Conosco.",Básico
Top Life,Rede,Não sai água,"Pressão ok? Registro aberto? Mangueira dobrada?",Bloqueio de entrada,"Verificar registro e mangueira. Persistindo, encaminhar Fale Conosco.",Básico
Top Life Ozônio,Eletrônico,Ozônio não ativa,"Luz acende? Há barulho?",Falha eletrônica,"Desligar 5 minutos e religar. Persistindo, encaminhar Fale Conosco.",Avançado
Polar,Gelo,Liga mas não produz gelo,"Barulho normal? Inicia ciclo? Compressor funciona?",Sistema de refrigeração,"Verificar água e bomba. Persistindo, encaminhar Fale Conosco.",Avançado
Polar,Gelo,Gelo pequeno ou fino,"Ventilação ok? Funcionamento normal?",Baixa pressão,"Limpar filtro de entrada e melhorar ventilação. Persistindo, encaminhar Fale Conosco.",Básico
