Marca,Sistema,Sintoma do Cliente,Perguntas de Diagnóstico (Sequência),Causa Técnica Provável,Procedimento Orientado,Nível
Libell,Compressor,Liga e desliga em poucos segundos,1. Tem energia estável? 2. Compressor arma? 3. Faz 'clic' e desarma?,Relé de partida / protetor térmico,"Teste o aparelho em outra tomada. Se o 'clic' e o desarme continuarem, acione nosso Fale Conosco para avaliação.",Avançado
Masterfrio,Compressor,Está ligado mas não gela nada,1. Compressor vibra? 2. Condensador quente? 3. Ventilação ok?,Falta de gás ou compressor fraco,"Verifique se o aparelho está muito encostado na parede ou se a grade traseira está suja. Se a limpeza não resolver, chame o Fale Conosco.",Avançado
Esmaltec,Compressor,Gela pouco,1. Está encostado na parede? 2. Ambiente quente? 3. Uso intenso?,Baixa troca térmica,"Afaste o aparelho da parede para melhorar a ventilação. Se continuar gelando pouco, chame o Fale Conosco.",Básico
Polar,Compressor,Faz barulho forte e não gela,1. Barulho contínuo? 2. Vibração excessiva?,Compressor com desgaste interno,"Verifique se o aparelho está bem nivelado no chão/bancada. Se a vibração continuar, acione o Fale Conosco.",Avançado
Electrolux,Eletrônico,Não liga nada,1. Painel acende? 2. Testou outra tomada? 3. Cabo ok?,Fonte queimada / placa,"Teste o cabo em outra tomada que sabidamente funciona. Se não ligar, direcione para o Fale Conosco.",Avançado
IBBL,Eletrônico,Ventilador faz barulho,1. Barulho de algo raspando internamente? 2. Está girando lento?,Cooler travando ou desgastado,"Tente limpar a poeira na saída de ar com um pincel seco. Se o barulho continuar, chame o Fale Conosco.",Avançado
Latina,Eletrônico,Liga mas não gela,1. Ventoinha gira? 2. Barulho de algo raspando internamente?,Peltier com falha,"Desobstrua a saída de ar traseira. Se o problema persistir após algumas horas, chame o Fale Conosco.",Avançado
Colormaq,Eletrônico,Gela e para depois,1. Tempo de funcionamento? 2. Ventilação adequada?,Superaquecimento interno,"Desligue da tomada por 2 horas, limpe a grade traseira e religue. Se o problema voltar, chame o Fale Conosco.",Básico
Libell,Garrafão,Água não desce,1. Garrafão bem encaixado? ,Vácuo no garrafão,"Retire o garrafão, verifique se não há restos do lacre bloqueando a entrada e recoloque. Se não descer, chame o Fale Conosco.",Básico
Esmaltec,Garrafão,Vazamento ao colocar garrafão,1. Vedação está correta? 2. Gargalo danificado?Já tentou com outro garrafão?,Vedação comprometida,"Retire o garrafão e inspecione se há rachaduras no gargalo dele. Tente com um garrafão novo. Se vazar, chame o Fale Conosco.",Básico
Top Life,Rede,Não sai água,1. Tem pressão? 2. Registro aberto? 3. Mangueira dobrada?,Bloqueio de entrada,"Verifique se o registro da parede está aberto e a mangueira não está dobrada ou esmagada. Se continuar sem água, chame o Fale Conosco.",Básico
Top Life Ozônio,Eletrônico,Ozônio não ativa,1. Ao acionar a tecla para ligar a liz da tecla acende uma luz? 2. Quando aciona a tecla escuta algum barulho interno?,Módulo eletrônico falho,"Desligue o aparelho da tomada por 5 minutos e religue novamente isso as vezes resolve. Se não resolver, acione o Fale Conosco.",Avançado
Polar,Gelo,Liga mas não produz gelo,1. Tem algum barulho anormal? 2. Chega a iniciar o ciclo? 3. Perebe se o compressor esta funcionando?,Sensor ou sistema de refrigeração,"Verifique se tem água e se tem o barulho natural da bomba funcionando quando está enchendo. Se mesmo assim com tudo funcionando nao estiver gelando, chame o Fale Conosco.",Avançado
Polar,Gelo,Gelo pequeno ou fino,1. A máquina tem boa ventilação em seu redor? 2. O barulho de funcionamento está normal ou anormal?,Baixa pressão ou obstrução,"Feche a água, limpe o filtro de entrada e religue. Se o gelo continuar fino, chame o Fale Conosco.",Básico
